pop,ind,lat,long,dbh,age,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WF,S28T7,562847,3175859,47.4,146,136/136,506/506,270/270,110/112,298/302,143/143,208/212,422/424,335/347,149/161,256/256,312/336,237/255
WF,S28T8,562849,3175849,14.3,126,136/136,506/508,NA,110/112,302/302,143/143,208/210,428/428,333/345,165/165,256/256,336/340,249/249
WF,S28T9,562839,3175864,7.3,42,136/136,506/508,270/270,110/110,298/302,143/143,210/210,428/428,335/347,149/165,250/250,340/340,249/251
WF,S28T10,562847,3175848,9.2,51,136/136,508/508,270/270,110/112,302/302,143/143,208/210,418/428,333/347,149/165,256/256,340/340,235/249
WF,S28T11,562846,3175852,10.8,34,136/136,506/506,276/276,110/110,302/302,143/143,208/208,420/428,339/339,165/165,268/268,328/328,249/267
WF,S28T12,562848,3175862,11.3,35,136/136,506/506,270/270,112/118,302/302,143/143,198/208,424/428,335/347,165/165,266/266,334/336,235/251
WF,S28T13,562849,3175866,18.7,59,136/136,506/506,286/286,112/112,302/302,143/143,198/210,424/428,333/345,165/165,256/256,336/346,249/249
WF,S28T14,562850,3175867,14.5,51,136/136,506/508,270/270,112/118,302/302,143/143,210/210,424/428,345/347,149/165,246/256,334/346,251/251
WF,S28T15,562840,3175872,18.3,48,136/136,506/506,270/270,110/110,302/302,143/143,210/210,422/424,335/347,161/165,256/256,340/340,235/255
WF,S28T16,562820,3175884,14.1,56,136/136,506/506,270/270,110/118,302/302,143/143,208/208,418/426,335/347,149/165,266/266,336/340,235/255
WF,S28T17,562822,3175877,15,41,136/136,506/506,270/270,110/118,302/302,143/143,208/210,426/426,335/345,149/149,266/266,334/342,235/251
WF,S28T18,562827,3175891,16,30,136/136,506/506,270/270,110/110,302/302,143/143,198/208,414/426,335/335,149/165,268/268,336/340,235/251
WF,S28T19,562826,3175896,13.3,52,136/136,506/506,270/270,110/110,302/302,143/143,208/210,418/420,339/339,165/165,268/268,342/342,235/249
WF,S28T20,562829,3175895,19.8,43,136/136,506/506,270/270,110/110,302/302,143/143,208/208,414/420,341/343,149/149,250/256,334/342,235/251
WF,S28T21,562832,3175900,21.3,42,136/136,506/506,270/270,110/110,302/302,143/143,210/210,422/424,335/335,165/165,268/268,328/328,235/255
WF,S28T22,562839,3175900,26.3,66,136/136,506/506,286/286,112/120,302/302,143/143,198/210,424/426,335/335,161/165,268/268,328/340,249/255
WF,S28T23,562839,3175904,11.3,30,136/136,506/506,270/270,112/124,302/302,143/143,210/210,422/424,333/345,165/165,256/256,336/346,251/255
